start_node,end_node,way_id,day,month,year,hour,agg,tracker_speed
132939903,132939904,233822655,5,4,2019,23,2.0,18.25
132939903,132939904,233822655,6,4,2019,0,0.0,0.7142857142857143
132939903,132939904,233822655,6,4,2019,8,1.0,11.0
132939903,132939904,233822655,6,4,2019,10,1.0,9.428571428571429
132939903,132939904,233822655,6,4,2019,13,1.0,9.0
132939903,132939904,233822655,6,4,2019,16,2.0,23.0
132939903,132939904,233822655,6,4,2019,17,2.0,16.0
132939903,132939904,233822655,6,4,2019,18,2.0,29.0
132939903,132939904,233822655,6,4,2019,19,2.0,0.0
132939903,132939904,233822655,6,4,2019,20,2.0,20.0
132939903,132939904,233822655,7,4,2019,0,0.0,36.0
132939903,132939904,233822655,7,4,2019,1,1.0,6.333333333333333
132939903,132939904,233822655,7,4,2019,2,1.0,0.0
132939903,132939904,233822655,7,4,2019,3,1.0,0.0
132939903,132939904,233822655,7,4,2019,4,1.0,4.153846153846154
132939903,132939904,233822655,7,4,2019,14,1.0,19.0
132939903,132939904,233822655,7,4,2019,16,2.0,9.0
132939903,132939904,233822655,7,4,2019,21,2.0,8.0
132939903,132939904,233822655,8,4,2019,5,1.0,9.5
132939903,132939904,233822655,8,4,2019,9,1.0,14.0
132939903,132939904,233822655,8,4,2019,12,1.0,17.5
132939903,132939904,233822655,8,4,2019,15,1.0,7.5
132939903,132939904,233822655,8,4,2019,16,2.0,22.0
132939903,132939904,233822655,8,4,2019,18,2.0,4.0
132939903,132939904,233822655,8,4,2019,19,2.0,18.0
132939903,132939904,233822655,8,4,2019,22,2.0,0.0
132939903,132939904,233822655,8,4,2019,23,2.0,5.555555555555555
132939903,132939904,233822655,9,4,2019,0,0.0,0.0
132939903,132939904,233822655,9,4,2019,1,1.0,1.3076923076923077
132939903,132939904,233822655,9,4,2019,7,1.0,0.0
132939903,132939904,233822655,9,4,2019,13,1.0,0.0
132939903,132939904,233822655,9,4,2019,14,1.0,12.0
132939903,132939904,233822655,9,4,2019,17,2.0,30.0
132939903,132939904,233822655,9,4,2019,18,2.0,19.0
132939903,132939904,233822655,9,4,2019,19,2.0,18.5
132939903,132939904,233822655,9,4,2019,20,2.0,15.0
132939903,132939904,233822655,9,4,2019,23,2.0,22.0
132939903,132939904,233822655,10,4,2019,5,1.0,4.666666666666667
132939903,132939904,233822655,10,4,2019,6,1.0,22.0
132939903,132939904,233822655,10,4,2019,8,1.0,14.0
132939903,132939904,233822655,10,4,2019,9,1.0,15.0
132939903,132939904,233822655,10,4,2019,11,1.0,25.0
132939903,132939904,233822655,10,4,2019,18,2.0,4.857142857142857
132939903,132939904,233822655,10,4,2019,21,2.0,13.5
132939903,132939904,233822655,10,4,2019,22,2.0,0.0
132939904,132939903,233822655,2,4,2019,0,0.0,28.0
132939904,132939903,233822655,2,4,2019,1,1.0,31.2
132939904,132939903,233822655,2,4,2019,2,1.0,34.5
132939904,132939903,233822655,2,4,2019,3,1.0,36.0
132939904,132939903,233822655,2,4,2019,7,1.0,37.0
132939904,132939903,233822655,2,4,2019,10,1.0,13.0
132939904,132939903,233822655,2,4,2019,11,1.0,3.3333333333333335
132939904,132939903,233822655,2,4,2019,12,1.0,0.5
132939904,132939903,233822655,2,4,2019,13,1.0,0.23809523809523808
132939904,132939903,233822655,2,4,2019,14,1.0,2.2083333333333335
132939904,132939903,233822655,2,4,2019,15,1.0,26.0
132939904,132939903,233822655,2,4,2019,16,2.0,23.5
132939904,132939903,233822655,2,4,2019,17,2.0,25.5
132939904,132939903,233822655,2,4,2019,19,2.0,10.0
132939904,132939903,233822655,2,4,2019,21,2.0,23.0
132939904,132939903,233822655,2,4,2019,22,2.0,32.0
132939904,132939903,233822655,3,4,2019,0,0.0,26.0
132939904,132939903,233822655,3,4,2019,2,1.0,38.0
132939904,132939903,233822655,3,4,2019,3,1.0,47.0
132939904,132939903,233822655,3,4,2019,4,1.0,23.0
132939904,132939903,233822655,3,4,2019,11,1.0,37.0
132939904,132939903,233822655,3,4,2019,12,1.0,11.0
132939904,132939903,233822655,3,4,2019,14,1.0,29.0
132939904,132939903,233822655,3,4,2019,15,1.0,19.333333333333332
132939904,132939903,233822655,3,4,2019,17,2.0,11.4
132939904,132939903,233822655,3,4,2019,18,2.0,19.0
132939904,132939903,233822655,3,4,2019,19,2.0,25.0
